# ID	Score
NC_000010.11:g.60208220G>A	-3
NC_000021.9:g.46003595C>T	-2
NC_000011.10:g.126021374C>T	3
NC_000003.12:g.14139250C>T	0
NC_000023.11:g.154187939C>A	0
NC_000006.12:g.129314655G>A	1
NC_000011.10:g.2570727T>C	0
NC_000023.11:g.71377696C>G	1
NC_000019.10:g.41422309C>G	-2
NC_000002.12:g.37232165C>G	-1
NC_000015.10:g.41396534C>T	1
NC_000006.12:g.160707713C>T	2
NC_000002.12:g.70935956T>C	-1
NC_000008.11:g.3142485C>T	-2
NC_000017.11:g.42787485G>A	1
NC_000003.12:g.30650316C>T	-1
NC_000009.12:g.108916228C>T	1
NC_000019.10:g.10786672G>A	1
NC_000007.14:g.142094801C>T	-3
NC_000001.11:g.248100004T>A	3
NC_000006.12:g.32847198T>C	-1
NC_000018.10:g.45063547C>A	0
NC_000002.12:g.218812250C>T	-3
NC_000011.10:g.1621648G>A	-2
NC_000007.14:g.44188923C>T	0
NC_000001.11:g.202123034G>A	-2
NC_000005.10:g.174046877C>T	-3
NC_000017.11:g.47945943T>C	-1
NC_000002.12:g.84634571G>A	1
NC_000022.11:g.30615623G>C	-2
NC_000018.10:g.55228988G>A	-3
NC_000007.14:g.100641038G>A	0
NC_000013.11:g.32337279T>G	-2
NC_000023.11:g.154837686G>A	-3
NC_000001.11:g.94098927C>T	0
NC_000013.11:g.32356521T>C	-3
NC_000013.11:g.20222886A>T	1
NC_000010.11:g.92613045C>G	-1
NC_000009.12:g.34648859G>C	-2
NC_000019.10:g.3771588G>A	-3
NC_000010.11:g.14934728G>C	-2
NC_000007.14:g.150947004T>C	1
NC_000011.10:g.71435749G>A	-3
NC_000011.10:g.49982045G>A	2
NC_000002.12:g.223959767C>T	-1
NC_000011.10:g.61955780G>C	-1
NC_000005.10:g.148095823A>G	1
NC_000023.11:g.108582921G>A	-2
NC_000001.11:g.237456642G>A	3
NC_000004.12:g.6291218G>A	1
NC_000011.10:g.64757862C>A	1
NC_000006.12:g.75914821G>A	1
NC_000011.10:g.17533258T>C	0
NC_000023.11:g.129569369C>G	0
NC_000019.10:g.38386100C>T	0
NC_000003.12:g.46357717G>A	3
NC_000023.11:g.35802494G>A	1
NC_000006.12:g.63788162T>A	-1
NC_000023.11:g.19588683T>C	-2
NC_000011.10:g.77201591A>T	-1
NC_000021.9:g.45992791G>A	1
NC_000023.11:g.41473977C>G	-2
NC_000006.12:g.158192003T>C	-3
NC_000018.10:g.31524877A>G	0
NC_000021.9:g.46334635G>A	0
NC_000020.11:g.57562111G>A	1
NC_000004.12:g.73419613G>A	1
NC_000011.10:g.6394204G>T	-2
NC_000019.10:g.7170561T>C	1
NC_000023.11:g.56565362C>T	-1
NC_000003.12:g.52222131C>T	1
NC_000003.12:g.38726809T>C	3
NC_000020.11:g.46725352G>T	1
NC_000023.11:g.71223879C>T	-1
NC_000018.10:g.3457606C>T	-2
NC_000003.12:g.58078783A>C	-1
NC_000023.11:g.32217032G>A	-3
NC_000016.10:g.3249705C>T	0
NC_000022.11:g.33277139C>T	0
NC_000023.11:g.46500690C>T	1
NC_000023.11:g.154993044G>A	-1
NC_000007.14:g.150958407C>T	0
NC_000017.11:g.41756202T>C	3
NC_000018.10:g.9117901G>A	1
NC_000023.11:g.38401404C>G	1
NC_000007.14:g.65974686C>T	1
NC_000006.12:g.107459275C>G	-2
NC_000015.10:g.89601553A>C	-1
NC_000001.11:g.11016874C>T	0
NC_000022.11:g.29489027G>A	1
NC_000019.10:g.41414125C>T	-1
NC_000015.10:g.45144212A>G	1
NC_000012.12:g.131915912C>G	-1
NC_000010.11:g.114473099C>T	1
NC_000017.11:g.75523332C>T	-1
NC_000023.11:g.53409120C>T	0
NC_000003.12:g.38566498C>T	1
NC_000023.11:g.38403640G>T	-3
NC_000007.14:g.150958206T>G	1
NC_000006.12:g.75914186A>G	2
NC_000003.12:g.38551208T>C	1
NC_000007.14:g.150947671G>A	-3
NC_000003.12:g.158690243G>A	3
NC_000005.10:g.147831542C>G	0
NC_000011.10:g.6618820G>A	-2
NC_000012.12:g.57764487G>A	0
NC_000011.10:g.639830T>G	-3
NC_000021.9:g.34449520C>T	1
NC_000023.11:g.43949839C>A	-2
NC_000001.11:g.184795563G>A	-1
NC_000011.10:g.47332645A>C	-2
NC_000010.11:g.30349161C>A	-3
NC_000009.12:g.114406753A>G	-1
NC_000023.11:g.154030623G>A	-3
NC_000007.14:g.148147545T>C	0
NC_000013.11:g.50945445G>A	0
NC_000017.11:g.73196592C>T	-2
NC_000007.14:g.151186411G>A	-3
NC_000002.12:g.202555989G>A	1
NC_000007.14:g.107702038G>A	-2
NC_000001.11:g.215817137C>T	1
NC_000010.11:g.12769686T>C	-2
NC_000021.9:g.46411952G>A	1
NC_000013.11:g.32363237G>T	-3
NC_000001.11:g.75732652G>A	1
NC_000012.12:g.48004297T>A	1
NC_000016.10:g.46697521A>C	-2
NC_000007.14:g.117590355C>A	-1
NC_000022.11:g.46335774T>G	1
NC_000017.11:g.43045691T>G	-2
NC_000002.12:g.71682597C>T	-3
NC_000022.11:g.37771699T>C	0
NC_000001.11:g.23854472T>C	1
NC_000012.12:g.9094987C>T	0
NC_000018.10:g.46569606C>A	-3
NC_000006.12:g.65335034T>C	1
NC_000003.12:g.128481270G>A	-3
NC_000007.14:g.150948512G>A	-1
NC_000008.11:g.38426158C>T	0
NC_000011.10:g.121118626A>G	-2
NC_000023.11:g.73213436G>A	-3
NC_000003.12:g.49357401G>A	-3
NC_000006.12:g.44303398C>T	1
NC_000019.10:g.55858465G>A	-2
NC_000007.14:g.150974822A>C	-3
NC_000007.14:g.129485630C>T	0
NC_000023.11:g.37010908C>T	-2
NC_000019.10:g.42224969C>T	-3
NC_000017.11:g.64896129G>A	-1
NC_000001.11:g.15930681G>A	1
NC_000010.11:g.26066977G>A	0
NC_000021.9:g.34449552G>A	-2
NC_000001.11:g.100216031A>G	-1
NC_000002.12:g.189068016G>A	-3
NC_000006.12:g.32079050G>A	-2
NC_000009.12:g.99146553A>G	-1
NC_000002.12:g.74462912G>A	-1
NC_000002.12:g.218753115G>A	-2
NC_000004.12:g.42893406C>T	0
NC_000003.12:g.38560407C>T	0
NC_000011.10:g.116820918C>A	0
NC_000016.10:g.177101C>T	2
NC_000023.11:g.154563602G>A	1
NC_000003.12:g.121993958G>C	-2
NC_000002.12:g.166311728T>C	1
NC_000012.12:g.21178955T>A	-3
NC_000010.11:g.26174114A>T	1
NC_000010.11:g.71779376T>C	-2
NC_000014.9:g.91313907G>C	1
NC_000008.11:g.116854372G>A	-2
NC_000001.11:g.159205564G>A	-1
NC_000005.10:g.24509777C>T	1
NC_000017.11:g.63947082C>T	0
NC_000018.10:g.2925361C>T	1
NC_000001.11:g.196715679T>C	-3
NC_000002.12:g.127050470T>C	2
NC_000015.10:g.89317531A>C	-1
NC_000008.11:g.58496605T>A	-3
NC_000016.10:g.75479308T>C	2
NC_000023.11:g.153740599C>A	-1
NC_000001.11:g.216048620T>C	2
NC_000001.11:g.197143408T>G	1
NC_000014.9:g.50595580T>G	-2
NC_000012.12:g.132673664G>C	1
NC_000023.11:g.111410133C>G	-2
NC_000010.11:g.26193228A>G	1
NC_000015.10:g.73368164C>T	-2
NC_000006.12:g.64307042A>T	-3
NC_000004.12:g.6301953A>G	3
NC_000009.12:g.36218225C>T	0
NC_000006.12:g.129192705T>A	-2
NC_000002.12:g.47410320A>G	-2
NC_000012.12:g.4912054A>G	0
NC_000023.11:g.153906059G>T	-3
NC_000002.12:g.224506931G>A	-2
NC_000002.12:g.169497628G>A	0
NC_000011.10:g.71435575C>T	0
NC_000001.11:g.215671121G>C	2
NC_000019.10:g.38930634T>C	0
NC_000023.11:g.136346516A>T	3
NC_000006.12:g.80167699C>T	-1
NC_000002.12:g.47800474C>G	-1
NC_000018.10:g.44952641G>A	3
NC_000009.12:g.133352593C>G	-1
NC_000005.10:g.177211505G>C	-1
NC_000006.12:g.161360193C>T	1
NC_000005.10:g.132575823G>A	0
NC_000007.14:g.144187764C>T	-2
NC_000023.11:g.118826332A>G	-2
NC_000002.12:g.189068038G>A	-1
NC_000004.12:g.3492873A>G	1
NC_000016.10:g.11553578G>C	0
NC_000021.9:g.46119046G>A	1
NC_000007.14:g.24699183A>T	3
NC_000011.10:g.126277108A>G	0
NC_000013.11:g.32379897A>G	1
NC_000001.11:g.11795161A>G	-3
NC_000002.12:g.197487080C>G	0
NC_000002.12:g.113957432C>T	-1
NC_000012.12:g.123758010A>G	1
NC_000001.11:g.215650602G>T	-2
NC_000017.11:g.56594838G>C	-2
NC_000019.10:g.41342209A>G	-3
NC_000012.12:g.122273008G>A	-1
NC_000017.11:g.14159934C>T	-3
NC_000005.10:g.132579882C>T	-1
NC_000023.11:g.53537656G>A	-3
NC_000007.14:g.107661643T>C	-1
NC_000021.9:g.46416739C>T	-3
